table_name,column_name
ab_test_variants,id
ab_test_variants,study_id
ab_test_variants,name
ab_test_variants,description
ab_test_variants,weight
ab_test_variants,is_active
ab_test_variants,created_at
ab_test_variants,updated_at
access_requests,id
access_requests,trip_id
access_requests,user_id
access_requests,requested_at
access_requests,status
access_requests,approved_by
access_requests,approved_at
access_requests,message
access_requests,created_at
access_requests,updated_at
access_requests,email
access_requests,name
access_requests,reason
access_requests,study_id
admin_onboarding_analytics,completion_date
admin_onboarding_analytics,completed_count
admin_onboarding_analytics,avg_hours_to_complete
albums,id
albums,user_id
albums,title
albums,description
albums,created_at
albums,updated_at
budget_items,id
budget_items,trip_id
budget_items,title
budget_items,amount
budget_items,currency
budget_items,category
budget_items,paid_by
budget_items,date
budget_items,source
budget_items,created_at
budget_items,updated_at
cities,id
cities,name
cities,country
cities,state_province
cities,continent
cities,latitude
cities,longitude
cities,population
cities,image_url
cities,description
cities,created_at
cities,updated_at
cities,city_ascii
cities,iso2
cities,iso3
cities,admin_name
cities,capital
cities,simple_maps_id
cities,fts
collaborative_notes,id
collaborative_notes,trip_id
collaborative_notes,title
collaborative_notes,content
collaborative_notes,created_by
collaborative_notes,is_pinned
collaborative_notes,last_edited_by
collaborative_notes,last_edited_at
collaborative_notes,created_at
collaborative_notes,updated_at
collaborative_sessions,id
collaborative_sessions,trip_id
collaborative_sessions,document_type
collaborative_sessions,document_id
collaborative_sessions,content
collaborative_sessions,created_at
collaborative_sessions,updated_at
comment_reactions,id
comment_reactions,comment_id
comment_reactions,user_id
comment_reactions,emoji
comment_reactions,created_at
comments,id
comments,content
comments,user_id
comments,created_at
comments,updated_at
comments,parent_id
comments,content_type
comments,content_id
comments,is_edited
comments,is_deleted
comments,reactions_count
comments,replies_count
comments,attachment_url
comments,attachment_type
comments,metadata
content_customizations,id
content_customizations,item_id
content_customizations,user_id
content_customizations,customization_type
content_customizations,original_value
content_customizations,customized_value
content_customizations,is_private
content_customizations,created_at
content_customizations,updated_at
content_customizations,metadata
content_quality_metrics,id
content_quality_metrics,item_id
content_quality_metrics,trip_id
content_quality_metrics,quality_score
content_quality_metrics,engagement_score
content_quality_metrics,popularity_score
content_quality_metrics,usage_count
content_quality_metrics,last_used_at
content_quality_metrics,created_at
content_quality_metrics,updated_at
content_quality_metrics,metadata
content_sharing_history,id
content_sharing_history,item_id
